analysis_date,zip5,sale_properties,transitions,al_rate
2023-03-15,77493,639,29,4.538341158059469
2023-03-15,77433,412,19,4.611650485436893
2023-03-15,77494,282,25,8.865248226950355
2023-03-15,77354,304,16,5.263157894736842
2023-03-15,77459,261,19,7.2796934865900385
2023-03-15,77449,287,26,9.059233449477352
2023-03-15,77573,207,3,1.4492753623188406
2023-03-15,77469,310,19,6.129032258064516
2023-03-15,77406,214,9,4.205607476635514
2023-03-15,77316,333,26,7.807807807807808
2023-04-15,77493,576,38,6.597222222222222
2023-04-15,77433,439,16,3.644646924829157
2023-04-15,77494,350,16,4.571428571428571
2023-04-15,77354,292,9,3.0821917808219177
2023-04-15,77459,315,21,6.666666666666667
2023-04-15,77449,273,34,12.454212454212454
2023-04-15,77573,214,3,1.4018691588785046
2023-04-15,77469,263,20,7.604562737642586
2023-04-15,77406,244,13,5.327868852459016
2023-04-15,77316,352,23,6.534090909090909
2023-05-15,77493,536,40,7.462686567164178
2023-05-15,77433,486,22,4.526748971193416
2023-05-15,77494,367,23,6.267029972752043
2023-05-15,77354,301,13,4.318936877076411
2023-05-15,77459,315,23,7.301587301587302
2023-05-15,77449,287,35,12.195121951219512
2023-05-15,77573,245,7,2.857142857142857
2023-05-15,77469,249,15,6.024096385542169
2023-05-15,77406,235,9,3.829787234042553
2023-05-15,77316,328,19,5.7926829268292686
2023-06-15,77493,584,41,7.02054794520548
2023-06-15,77433,544,31,5.698529411764706
2023-06-15,77494,424,34,8.018867924528301
2023-06-15,77354,314,14,4.45859872611465
2023-06-15,77459,367,23,6.267029972752043
2023-06-15,77449,298,37,12.416107382550337
2023-06-15,77573,285,14,4.912280701754386
2023-06-15,77469,306,25,8.169934640522875
2023-06-15,77406,248,16,6.451612903225806
2023-06-15,77316,350,20,5.714285714285714
2023-07-15,77493,572,44,7.6923076923076925
2023-07-15,77433,544,37,6.8014705882352935
2023-07-15,77494,459,39,8.49673202614379
2023-07-15,77354,301,10,3.322259136212625
2023-07-15,77459,341,28,8.211143695014663
2023-07-15,77449,310,42,13.548387096774196
2023-07-15,77573,316,19,6.012658227848101
2023-07-15,77469,309,17,5.501618122977346
2023-07-15,77406,266,21,7.894736842105263
2023-07-15,77316,304,15,4.934210526315789
2023-08-15,77493,523,31,5.927342256214149
2023-08-15,77433,490,45,9.183673469387756
2023-08-15,77494,423,54,12.76595744680851
2023-08-15,77354,275,12,4.363636363636364
2023-08-15,77459,307,35,11.400651465798045
2023-08-15,77449,307,35,11.400651465798045
2023-08-15,77573,286,13,4.545454545454546
2023-08-15,77469,286,19,6.643356643356643
2023-08-15,77406,232,19,8.189655172413794
2023-08-15,77316,273,14,5.128205128205128
2023-09-15,77493,512,35,6.8359375
2023-09-15,77433,457,40,8.752735229759299
2023-09-15,77494,393,45,11.450381679389313
2023-09-15,77354,287,14,4.878048780487805
2023-09-15,77459,288,27,9.375
2023-09-15,77449,290,36,12.413793103448276
2023-09-15,77573,263,15,5.7034220532319395
2023-09-15,77469,239,20,8.368200836820083
2023-09-15,77406,229,19,8.296943231441048
2023-09-15,77316,282,12,4.25531914893617
2023-10-15,77493,436,37,8.486238532110093
2023-10-15,77433,442,27,6.108597285067873
2023-10-15,77494,326,38,11.65644171779141
2023-10-15,77354,265,15,5.660377358490567
2023-10-15,77459,256,19,7.421875
2023-10-15,77449,270,46,17.037037037037038
2023-10-15,77573,237,16,6.751054852320674
2023-10-15,77469,246,26,10.569105691056912
2023-10-15,77406,216,17,7.87037037037037
2023-10-15,77316,226,8,3.5398230088495577
2023-11-15,77493,456,40,8.771929824561402
2023-11-15,77433,464,28,6.0344827586206895
2023-11-15,77494,300,34,11.333333333333332
2023-11-15,77354,265,21,7.9245283018867925
2023-11-15,77459,270,15,5.555555555555555
2023-11-15,77449,281,29,10.320284697508896
2023-11-15,77573,219,14,6.392694063926941
2023-11-15,77469,248,17,6.854838709677419
2023-11-15,77406,227,11,4.845814977973569
2023-11-15,77316,238,11,4.621848739495799
2023-12-15,77493,459,41,8.932461873638346
2023-12-15,77433,393,35,8.9058524173028
2023-12-15,77494,245,25,10.204081632653061
2023-12-15,77354,300,21,7.000000000000001
2023-12-15,77459,253,11,4.3478260869565215
2023-12-15,77449,245,28,11.428571428571429
2023-12-15,77573,184,8,4.3478260869565215
2023-12-15,77469,249,18,7.228915662650602
2023-12-15,77406,177,13,7.344632768361582
2023-12-15,77316,237,12,5.063291139240507
2024-01-15,77493,393,41,10.432569974554708
2024-01-15,77433,341,33,9.67741935483871
2024-01-15,77494,180,20,11.11111111111111
2024-01-15,77354,248,15,6.048387096774194
2024-01-15,77459,214,17,7.943925233644859
2024-01-15,77449,220,31,14.09090909090909
2024-01-15,77573,205,7,3.414634146341464
2024-01-15,77469,232,20,8.620689655172415
2024-01-15,77406,171,10,5.847953216374268
2024-01-15,77316,193,10,5.181347150259067
2024-02-15,77493,467,38,8.137044967880087
2024-02-15,77433,450,25,5.555555555555555
2024-02-15,77494,213,18,8.450704225352112
2024-02-15,77354,310,18,5.806451612903226
2024-02-15,77459,250,12,4.8
2024-02-15,77449,230,41,17.82608695652174
2024-02-15,77573,238,3,1.2605042016806722
2024-02-15,77469,285,23,8.070175438596491
2024-02-15,77406,244,12,4.918032786885246
2024-02-15,77316,269,10,3.717472118959108
2024-03-15,77493,570,41,7.192982456140351
2024-03-15,77433,519,35,6.74373795761079
2024-03-15,77494,275,23,8.363636363636363
2024-03-15,77354,379,14,3.6939313984168867
2024-03-15,77459,324,14,4.320987654320987
2024-03-15,77449,259,38,14.671814671814673
2024-03-15,77573,235,4,1.702127659574468
2024-03-15,77469,343,30,8.746355685131196
2024-03-15,77406,275,20,7.2727272727272725
2024-03-15,77316,313,12,3.8338658146964857
2024-04-15,77493,624,48,7.6923076923076925
2024-04-15,77433,572,36,6.293706293706294
2024-04-15,77494,333,20,6.006006006006006
2024-04-15,77354,455,12,2.6373626373626373
2024-04-15,77459,340,9,2.6470588235294117
2024-04-15,77449,242,27,11.15702479338843
2024-04-15,77573,272,4,1.4705882352941175
2024-04-15,77469,309,20,6.472491909385113
2024-04-15,77406,325,15,4.615384615384616
2024-04-15,77316,310,13,4.193548387096775
2024-05-15,77493,598,52,8.695652173913043
2024-05-15,77433,626,37,5.9105431309904155
2024-05-15,77494,396,27,6.8181818181818175
2024-05-15,77354,371,10,2.6954177897574128
2024-05-15,77459,372,18,4.838709677419355
2024-05-15,77449,305,30,9.836065573770492
2024-05-15,77573,344,9,2.616279069767442
2024-05-15,77469,312,24,7.6923076923076925
2024-05-15,77406,347,30,8.645533141210375
2024-05-15,77316,301,8,2.6578073089700998
2024-06-15,77493,577,31,5.37261698440208
2024-06-15,77433,693,45,6.493506493506493
2024-06-15,77494,452,48,10.619469026548673
2024-06-15,77354,318,12,3.7735849056603774
2024-06-15,77459,374,17,4.545454545454546
2024-06-15,77449,317,50,15.772870662460567
