analysis_date,sale_properties,same_owner_transitions,al_rate
2023-02-15,16121,863,5.35
2023-03-15,17841,874,4.9
2023-04-15,19235,939,4.88
2023-05-15,19684,1082,5.5
2023-06-15,20808,1237,5.94
2023-07-15,20687,1289,6.23
2023-08-15,19697,1507,7.65
2023-09-15,18640,1444,7.75
2023-10-15,17150,1370,7.99
2023-11-15,17387,1204,6.92
2023-12-15,15665,1044,6.66
2024-01-15,13855,928,6.7
2024-02-15,16978,1041,6.13
2024-03-15,19824,1074,5.42
2024-04-15,20836,1102,5.29
2024-05-15,21917,1240,5.66
2024-06-15,22361,1320,5.9
2024-07-15,20679,1358,6.57
2024-08-15,19575,1113,5.69
2024-09-15,20415,1229,6.02
2024-10-15,19796,1153,5.82
2024-11-15,19557,1078,5.51
2024-12-15,16706,1101,6.59
2025-01-15,15368,1150,7.48
2025-02-15,18850,1194,6.33
2025-03-15,21738,1338,6.16
2025-04-15,25065,1572,6.27
2025-05-15,26778,1914,7.15
2025-06-15,25771,2292,8.89
2025-07-15,25535,2094,8.2
2025-08-15,25210,1906,7.56
2025-09-15,21522,1715,7.97
2025-10-15,20447,1613,7.89
2025-11-15,18156,1396,7.69
2025-12-15,14665,1051,7.17
2026-01-15,13229,879,6.64
2026-02-15,16045,712,4.44
